t,x,xdot,xdot_pred
5246.0,0.9852,1.17e-06,2.9837880278560635e-05
5247.0,0.9852,1.21e-06,2.9837880278560635e-05
5248.0,0.9852,1.24e-06,2.9837880278560635e-05
5249.0,0.9852,1.28e-06,2.9837880278560635e-05
5250.0,0.9852,1.45e-06,2.9837880278560635e-05
5251.0,0.9852,1.44e-06,2.9837880278560635e-05
5252.0,0.9852,1.42e-06,2.9837880278560635e-05
5253.0,0.9852,1.42e-06,2.9837880278560635e-05
5254.0,0.9852,1.45e-06,2.9837880278560635e-05
5255.0,0.9852,1.47e-06,2.9837880278560635e-05
5256.0,0.9852,1.48e-06,2.9837880278560635e-05
5257.0,0.9852,1.46e-06,2.9837880278560635e-05
5258.0,0.9852,1.49e-06,2.9837880278560635e-05
5259.0,0.9852,1.53e-06,2.9837880278560635e-05
5260.0,0.9852,1.54e-06,2.9837880278560635e-05
5261.0,0.9852,1.46e-06,2.9837880278560635e-05
5262.0,0.9852,1.39e-06,2.9837880278560635e-05
5263.0,0.9852,1.23e-06,2.9837880278560635e-05
5264.0,0.9852,1.05e-06,2.9837880278560635e-05
5265.0,0.9852,8.6e-07,2.9837880278560635e-05
5266.0,0.9852,7.1e-07,2.9837880278560635e-05
5267.0,0.9852,6.1e-07,2.9837880278560635e-05
5268.0,0.9852,5.2e-07,2.9837880278560635e-05
5269.0,0.9852,5.9e-07,2.9837880278560635e-05
5270.0,0.9852,6.4e-07,2.9837880278560635e-05
5271.0,0.9852,6.6e-07,2.9837880278560635e-05
5272.0,0.9852,6.3e-07,2.9837880278560635e-05
5273.0,0.9852,6.6e-07,2.9837880278560635e-05
5274.0,0.9852,7.1e-07,2.9837880278560635e-05
5275.0,0.9852,7e-07,2.9837880278560635e-05
5276.0,0.9852,7.3e-07,2.9837880278560635e-05
5277.0,0.9852,7.8e-07,2.9837880278560635e-05
5278.0,0.9852,7.9e-07,2.9837880278560635e-05
5279.0,0.9852,7.5e-07,2.9837880278560635e-05
5280.0,0.9852,6.7e-07,2.9837880278560635e-05
5281.0,0.9852,6.4e-07,2.9837880278560635e-05
5282.0,0.9852,6e-07,2.9837880278560635e-05
5283.0,0.9852,5.3e-07,2.9837880278560635e-05
5284.0,0.9852,4.8e-07,2.9837880278560635e-05
5285.0,0.9852,4.3e-07,2.9837880278560635e-05
5286.0,0.9852,3.6e-07,2.9837880278560635e-05
5287.0,0.9852,3.3e-07,2.9837880278560635e-05
5288.0,0.9852,2.1e-07,2.9837880278560635e-05
5289.0,0.9852,1e-07,2.9837880278560635e-05
5290.0,0.9852,9e-08,2.9837880278560635e-05
5291.0,0.9852,1.7e-07,2.9837880278560635e-05
5292.0,0.9852,2.9e-07,2.9837880278560635e-05
5293.0,0.9852,4e-07,2.9837880278560635e-05
5294.0,0.9852,5.4e-07,2.9837880278560635e-05
5295.0,0.9852,6e-07,2.9837880278560635e-05
5296.0,0.9852,4.8e-07,2.9837880278560635e-05
5297.0,0.9852,4.3e-07,2.9837880278560635e-05
5298.0,0.9852,5.6e-07,2.9837880278560635e-05
5299.0,0.9852,3.9e-07,2.9837880278560635e-05
5300.0,0.9852,3.3e-07,2.9837880278560635e-05
5301.0,0.9852,3e-07,2.9837880278560635e-05
5302.0,0.9852,3.1e-07,2.9837880278560635e-05
5303.0,0.9852,3e-07,2.9837880278560635e-05
5304.0,0.9852,2.1e-07,2.9837880278560635e-05
5305.0,0.9852,3.4e-07,2.9837880278560635e-05
5306.0,0.9852,3.8e-07,2.9837880278560635e-05
5307.0,0.9852,4e-07,2.9837880278560635e-05
5308.0,0.9852,4.1e-07,2.9837880278560635e-05
5309.0,0.9852,4.6e-07,2.9837880278560635e-05
5310.0,0.9852,5.4e-07,2.9837880278560635e-05
5311.0,0.9852,5.2e-07,2.9837880278560635e-05
5312.0,0.9852,5.1e-07,2.9837880278560635e-05
5313.0,0.9852,5.4e-07,2.9837880278560635e-05
5314.0,0.9852,5.5e-07,2.9837880278560635e-05
5315.0,0.9852,5.3e-07,2.9837880278560635e-05
5316.0,0.9852,5.3e-07,2.9837880278560635e-05
5317.0,0.9852,6e-07,2.9837880278560635e-05
5318.0,0.9852,6.2e-07,2.9837880278560635e-05
5319.0,0.9852,6.3e-07,2.9837880278560635e-05
5320.0,0.9852,6.4e-07,2.9837880278560635e-05
5321.0,0.9852,6.5e-07,2.9837880278560635e-05
5322.0,0.9852,6.7e-07,2.9837880278560635e-05
5323.0,0.9852,6.7e-07,2.9837880278560635e-05
5324.0,0.9852,6.5e-07,2.9837880278560635e-05
5325.0,0.9852,6.7e-07,2.9837880278560635e-05
5326.0,0.9852,6.4e-07,2.9837880278560635e-05
5327.0,0.9852,5.8e-07,2.9837880278560635e-05
5328.0,0.9852,5.3e-07,2.9837880278560635e-05
5329.0,0.9852,4.7e-07,2.9837880278560635e-05
5330.0,0.9852,4.4e-07,2.9837880278560635e-05
5331.0,0.9852,4.2e-07,2.9837880278560635e-05
5332.0,0.9852,3.6e-07,2.9837880278560635e-05
5333.0,0.9852,2.9e-07,2.9837880278560635e-05
5334.0,0.9852,2.3e-07,2.9837880278560635e-05
5335.0,0.9852,2e-07,2.9837880278560635e-05
5336.0,0.9852,6e-08,2.9837880278560635e-05
5337.0,0.9852,-1e-07,2.9837880278560635e-05
5338.0,0.9852,-2e-07,2.9837880278560635e-05
5339.0,0.9852,-3e-07,2.9837880278560635e-05
5340.0,0.9852,-4.6e-07,2.9837880278560635e-05
5341.0,0.9852,-4.5e-07,2.9837880278560635e-05
5342.0,0.9852,-3.8e-07,2.9837880278560635e-05
5343.0,0.9852,-2.7e-07,2.9837880278560635e-05
5344.0,0.9852,-1.2e-07,2.9837880278560635e-05
